POST_CODE,PHARMACY_OPENING_HOURS_SATURDAY,PHARMACY_OPENING_HOURS_THURSDAY,CONTRACT_TYPE,ADDRESS_FIELD_4,ADDRESS_FIELD_3,ADDRESS_FIELD_2,ADDRESS_FIELD_1,TUES_TOTAL,PHARMACY_OPENING_HOURS_TUESDAY,HEALTH_AND_WELLBEING_BOARD,PHARMACY_OPENING_HOURS_FRIDAY,ORGANISATION_NAME,THURS_TOTAL,WEEKLY_TOTAL,PHARMACY_OPENING_HOURS_WEDNESDAY,FRI_TOTAL,PHARMACY_TRADING_NAME,PHARMACY_OPENING_HOURS_MONDAY,SUN_TOTAL,MON_TOTAL,PHARMACY_ODS_CODE__F_CODE_,PHARMACY_OPENING_HOURS_SUNDAY,SAT_TOTAL,WED_TOTAL
DT3 4DT,CLOSED,"08:30-13:00,14:00-17:30",Community,DORSET,WEYMOUTH,CHICKERELL,16 EAST STREET,8,"08:30-13:00,14:00-17:30",DORSET,"08:30-13:00,14:00-17:30",DAY LEWIS PLC,8,40,"08:30-13:00,14:00-17:30",8,DAY LEWIS PHARMACY,"08:30-13:00,14:00-17:30",0,8,FX758,CLOSED,0,8
BH6 3DB,CLOSED,"08:45-13:00,14:00-17:45",Community," ",BOURNEMOUTH,SOUTHBOURNE,29A BELLEVUE ROAD,8,"08:45-13:00,14:00-17:45",BOURNEMOUTH & POOLE,"08:45-13:00,14:00-17:45",PHARMASTAR LIMITED,8,40,"08:45-13:00,14:00-17:45",8,C & M CHEMISTS,"08:45-13:00,14:00-17:45",0,8,FWN53,CLOSED,0,8
BH22 9HU,CLOSED,"09:00-12:30,13:00-17:30",Community,DORSET,FERNDOWN,97 VICTORIA ROAD,REAR OF FERNDOWN PO,8,"09:00-12:30,13:00-17:30",DORSET,"09:00-12:30,13:00-17:30",P & D CARDS LIMITED,8,40,"09:00-12:30,13:00-17:30",8,MEDS2HOME PHARMACY,"09:00-12:30,13:00-17:30",0,8,FXL79,CLOSED,0,8
SP8 4AG,09:00-11:30,"09:00-12:30,13:30-17:30",Community,,DORSET,GILLINGHAM,THE HIGH STREET,7.5,"09:00-12:30,13:30-17:30",DORSET,"09:00-12:30,13:30-17:30",AVICENNA RETAIL LTD,7.5,40,"09:00-12:30,13:30-17:30",7.5,GILLINGHAM PHARMACY,"09:00-12:30,13:30-17:30",0,7.5,FTE44,CLOSED,2.5,7.5
BH19 1AF,CLOSED,"09:00-12:30,13:30-18:00",Community,,DORSET,SWANAGE,40 STATION ROAD,8,"09:00-12:30,13:30-18:00",DORSET,"09:00-12:30,13:30-18:00",BESTWAY NATIONAL CHEMISTS LIMITED,8,40,"09:00-12:30,13:30-18:00",8,WELL,"09:00-12:30,13:30-18:00",0,8,FQ123,CLOSED,0,8
DT8 3AA,09:00-11:30,"09:00-13:00,14:00-17:30",Community," ",DORSET,BEAMINSTER,20 HOGSHILL STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",FLAGSHIP (DORSET) LTD,7.5,40,"09:00-13:00,14:00-17:30",7.5,BEAMINSTER PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FFW83,CLOSED,2.5,7.5
BH12 3PG,CLOSED,"09:00-13:00,14:00-18:00",Community,DORSET,POOLE,RINGWOOD ROAD,45 WESSEX TRADE CENTRE,8,"09:00-13:00,14:00-18:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-18:00",AUTOMEDS PHARMACY LTD,8,40,"09:00-13:00,14:00-18:00",8,AUTOMEDS PHARMACY,"09:00-13:00,14:00-18:00",0,8,FAE92,CLOSED,0,8
BH20 7AX,CLOSED,"09:00-13:00,14:00-18:00",Community,DORSET,WAREHAM,SANDFORD,19 ST HELEN'S ROAD,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",REXPHARM SERVICES LIMITED,8,40,"09:00-13:00,14:00-18:00",8,SANDFORD PHARMACY,"09:00-13:00,14:00-18:00",0,8,FGJ07,CLOSED,0,8
BH23 1QU,CLOSED,"09:00-13:00,14:00-18:00",Community,,DORSET,CHRISTCHURCH,2A TWYNHAM AVENUE,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",BOOTS UK LIMITED,8,40,"09:00-13:00,14:00-18:00",8,BOOTS,"09:00-13:00,14:00-18:00",0,8,FV785,CLOSED,0,8
BH21 1NL,CLOSED,"09:00-13:00,14:00-18:00",Community,DORSET,,WIMBORNE,KNOBCROOK ROAD,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",REXPHARM SERVICES LIMITED,8,40,"09:00-13:00,14:00-18:00",8,THE WALFORD MILL PHARMACY,"09:00-13:00,14:00-18:00",0,8,FVR30,CLOSED,0,8
BH12 4HY,CLOSED,"09:00-13:00,14:00-18:00",Community,DORSET,POOLE,PARKSTONE,270 HERBERT AVENUE,8,"09:00-13:00,14:00-18:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-18:00",PREMODEN LIMITED,8,40,"09:00-13:00,14:00-18:00",8,NIMO PHARMACY,"09:00-13:00,14:00-18:00",0,8,FW563,CLOSED,0,8
DT3 6LD,CLOSED,"09:00-13:00,14:00-18:00",Community,DORSET,WEYMOUTH,PRESTON,7 LITTLEMOOR ROAD,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",L ROWLAND & CO (RETAIL) LTD,8,40,"09:00-13:00,14:00-18:00",8,ROWLANDS PHARMACY,"09:00-13:00,14:00-18:00",0,8,FWV19,CLOSED,0,8
DT2 7UA,CLOSED,"09:00-13:30,14:00-17:30",Community,DORSET,DORCHESTER,PIDDLEHINTON,UNIT 52F ENTERPRISE PARK,8,"09:00-13:30,14:00-17:30",DORSET,"09:00-13:30,14:00-17:30",AUTOMEDS PHARMACY LTD,8,40,"09:00-13:30,14:00-17:30",8,AUTOMEDS PHARMACY LTD,"09:00-13:30,14:00-17:30",0,8,FRD44,CLOSED,0,8
BH6 3LA,09:00-13:00,"09:00-13:00,13:30-17:30",Community,DORSET,BOURNEMOUTH,SOUTHBOURNE,171 TUCKTON ROAD,8,"09:00-13:00,13:30-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,13:30-17:30",FRANSIL LTD,8,44,"09:00-13:00,13:30-17:30",8,HEALTHPOINT PHARMACY,"09:00-13:00,13:30-17:30",0,8,FHC79,CLOSED,4,8
BH17 8SA,09:00-13:00,"09:00-13:00,14:00-18:00",Community,DORSET,POOLE,CANFORD HEATH,3 ADASTRAL SQUARE,8,"09:00-13:00,14:00-18:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-18:00",LAWTON PHARMACY CONSULTANTS LIMITED,8,44,"09:00-13:00,14:00-18:00",8,ADASTRAL PHARMACY,"09:00-13:00,14:00-18:00",0,8,FA406,CLOSED,4,8
BH4 9DZ,09:00-13:00,"09:00-13:00,14:00-18:00",Community," ",BOURNEMOUTH,WESTBOURNE,62 POOLE ROAD,8,"09:00-13:00,14:00-18:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-18:00",ARROWEDGE LTD,8,44,"09:00-13:00,14:00-18:00",8,ARROWEDGE PHARMACY,"09:00-13:00,14:00-18:00",0,8,FE691,CLOSED,4,8
BH22 0HX,09:00-13:00,"09:00-13:00,14:00-18:00",Community,DORSET,WIMBORNE,WEST MOORS,"UNIT 6, 175 STATION ROAD",8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",APHARM LTD,8,44,"09:00-13:00,14:00-18:00",8,MOORS PHARMACY,"09:00-13:00,14:00-18:00",0,8,FL781,CLOSED,4,8
